country,number_of_newly_diagnosis,number_of_cumulative_diagnosis,number_of_current_diagnosis,number_of_deaths,number_of_cures
美国,36386,825306,704558,45075,75673
西班牙,0,204178,100382,21282,82514
意大利,2729,183957,107709,24648,51600
法国,2805,159300,98629,20829,39842
德国,1765,149358,35022,5138,109198
英国,4328,130184,112166,17378,640
土耳其,4611,95591,78314,2359,14918
伊朗,0,84802,18540,5297,60965
俄罗斯,5236,57999,53670,456,3873
巴西,2554,43368,16198,2845,24325
比利时,0,40956,25956,5998,9002
加拿大,1531,39464,24359,1915,13190
荷兰,1,34318,30067,3929,322
瑞士,0,28063,7185,1478,19400
葡萄牙,0,21379,19700,762,917
印度,1193,20178,15557,645,3976
秘鲁,1512,17837,10371,484,6982
爱尔兰,388,16040,6077,730,9233
瑞典,0,15322,13007,1765,550
奥地利,0,14873,3411,491,10971
以色列,443,14326,9178,187,4961
沙特阿拉伯,0,11631,9882,109,1640
日本,38,11581,9942,283,1356
智利,325,10832,5716,147,4969
韩国,11,10694,2179,238,8277
厄瓜多尔,270,10398,8671,520,1207
新加坡,1016,10141,9291,11,839
波兰,119,9856,8158,401,1297
巴基斯坦,533,9749,7384,209,2156
墨西哥,729,9501,6017,857,2627
罗马尼亚,0,9242,6591,498,2153
丹麦,0,7891,2632,370,4889
阿联酋,0,7755,6266,46,1443
挪威,50,7241,7027,182,32
印度尼西亚,0,7135,5677,616,842
捷克,119,7033,5079,201,1753
塞尔维亚,0,6890,5783,130,977
白俄罗斯,459,6723,6091,55,577
澳大利亚,22,6647,2282,74,4291
菲律宾,0,6599,5508,437,654
乌克兰,467,6592,5951,174,467
卡塔尔,0,6533,5910,9,614
马来西亚,0,5482,2041,92,3349
多米尼加,80,5044,4336,245,463
巴拿马,163,4821,4449,141,231
哥伦比亚,172,4149,3149,196,804
芬兰,0,4014,1873,141,2000
卢森堡,60,3618,2870,78,670
埃及,157,3490,2356,264,870
南非,165,3465,2352,58,1055
孟加拉国,0,3382,3185,110,87
摩洛哥,23,3209,2671,145,393
阿根廷,113,3144,2153,151,840
泰国,15,2826,425,49,2352
阿尔及利亚,93,2811,1267,392,1152
摩尔多瓦,0,2614,2037,72,505
希腊,156,2401,1703,121,577
匈牙利,70,2168,1648,225,295
科威特,0,2080,1657,11,412
哈萨克斯坦,58,2025,1517,19,489
巴林,21,1973,1182,7,784
克罗地亚,0,1908,1059,48,801
冰岛,0,1778,351,10,1417
乌兹别克斯坦,35,1692,1329,6,357
阿曼,106,1614,1368,8,238
伊拉克,28,1602,423,83,1096
爱沙尼亚,0,1552,1340,43,169
阿塞拜疆,0,1480,595,20,865
新西兰,6,1451,401,14,1036
亚美尼亚,0,1401,768,24,609
立陶宛,20,1370,975,38,357
斯洛文尼亚,0,1344,1070,77,197
波黑,0,1342,854,51,437
北马其顿,0,1231,952,55,224
斯洛伐克,0,1199,657,14,528
喀麦隆,0,1163,791,43,329
古巴,50,1137,790,38,309
阿富汗,0,1092,906,36,150
加纳,0,1042,934,9,99
保加利亚,49,1015,794,47,174
吉布提,99,945,831,2,112
科特迪瓦,37,916,600,13,303
突尼斯,17,901,693,38,170
塞浦路斯,12,784,674,12,98
尼日利亚,117,782,560,25,197
拉脱维亚,0,748,606,9,133
安道尔,0,717,398,37,282
钻石公主号,0,712,54,13,645
几内亚,66,688,555,6,127
黎巴嫩,0,677,548,21,108
哥斯达黎加,7,669,513,6,150
尼日尔,2,657,510,20,127
红宝石公主号,0,620,610,10,0
吉尔吉斯斯坦,22,612,351,7,254
阿尔巴尼亚,0,609,238,26,345
玻利维亚,11,609,528,37,44
布基纳法索,19,600,200,38,362
乌拉圭,8,543,207,12,324
洪都拉斯,16,510,434,46,30
圣马力诺,0,476,374,40,62
巴勒斯坦,5,466,391,4,71
马耳他,0,443,290,3,150
约旦,3,428,124,7,297
塞内加尔,0,412,165,5,242
格鲁吉亚,0,408,307,4,97
刚果（金）,9,359,289,25,45
毛里求斯,0,328,76,9,243
危地马拉,22,316,284,8,24
黑山,0,313,207,5,101
斯里兰卡,0,310,201,7,102
肯尼亚,0,296,208,14,74
委内瑞拉,3,288,156,10,122
索马里,49,286,274,8,4
越南,0,268,52,0,216
马里,0,258,187,14,57
坦桑尼亚,0,254,231,10,13
牙买加,10,233,198,8,27
萨尔瓦多,0,225,170,7,48
巴拉圭,5,213,142,9,62
刚果（布）,5,165,143,6,16
加蓬,36,156,139,1,16
卢旺达,3,150,66,0,84
苏丹,33,140,119,13,8
文莱,0,138,4,1,133
直布罗陀,0,131,26,1,104
柬埔寨,0,122,12,0,110
马达加斯加,0,121,77,0,44
缅甸,2,121,107,5,9
特立尼达和多巴哥,1,115,79,8,28
埃塞俄比亚,0,114,95,3,16
利比里亚,0,101,86,8,7
摩纳哥,0,94,65,3,26
阿鲁巴,0,93,53,1,39
多哥,2,86,24,6,56
马尔代夫,3,86,70,0,16
法属圭亚那,0,86,35,0,51
赤道几内亚,4,83,76,0,7
列支敦士登公国,0,79,23,1,55
巴巴多斯,0,75,45,5,25
赞比亚,0,70,32,3,35
佛得角,1,68,66,1,1
圭亚那,1,67,51,7,9
马提尼克岛,0,66,66,0,0
巴哈马,5,65,44,9,12
东帝汶,0,63,62,0,1
乌干达,3,61,23,0,38
利比亚,8,59,43,1,15
海地,1,58,52,4,2
贝宁,0,54,26,1,27
几内亚比绍,0,50,47,0,3
塞拉利昂,0,50,44,0,6
尼泊尔,0,43,38,0,5
叙利亚,3,42,33,3,6
厄立特里亚,0,39,33,0,6
莫桑比克,0,39,31,0,8
蒙古国,1,35,30,0,5
乍得,0,33,25,0,8
斯威士兰,7,31,20,1,10
法属波利尼西亚,0,30,30,0,0
津巴布韦,3,28,23,3,2
安提瓜和巴布达,1,24,14,3,7
安哥拉,0,24,16,2,6
博茨瓦纳,0,20,19,1,0
老挝,0,19,17,0,2
斐济,0,18,10,0,8
伯利兹,0,18,14,2,2
马拉维,0,18,13,2,3
纳米比亚,0,16,10,0,6
多米尼克,0,16,7,0,9
圣基茨和尼维斯,0,15,15,0,0
圣卢西亚,0,15,2,0,13
中非共和国,0,14,4,0,10
格林纳达,0,14,8,0,6
新喀里多尼亚,0,14,14,0,0
圣文森特岛,1,13,10,0,3
塞舌尔,0,11,6,0,5
布隆迪,5,11,6,1,4
苏里南,0,10,3,1,6
冈比亚,0,10,7,1,2
尼加拉瓜,0,10,1,2,7
梵蒂冈,0,9,7,0,2
毛里塔尼亚,0,7,0,1,6
巴布亚新几内亚,0,7,7,0,0
不丹,0,6,4,0,2
西撒哈拉,0,6,6,0,0
圣多美和普林西比,0,4,4,0,0
南苏丹,0,4,4,0,0
特克斯和凯科斯群岛,0,2,2,0,0
蒙特塞拉特岛,0,2,2,0,0
安圭拉,0,2,2,0,0
也门,0,1,1,0,0
